cluster,lat,lon
12,47.28,-119.27
12,47.28,-119.02
12,47.28,-118.77
12,47.28,-118.52
12,47.28,-118.27
12,47.28,-118.02
11,47.28,-117.77
11,47.28,-117.52
11,47.28,-117.27
11,47.28,-117.02
11,47.28,-116.77
7,47.53,-124.77
7,47.53,-124.52
7,47.53,-124.27
3,47.53,-124.02
13,47.53,-123.77
13,47.53,-123.52
13,47.53,-123.27
13,47.53,-123.02
13,47.53,-122.77
13,47.53,-122.52
4,47.53,-122.27
4,47.53,-122.02
4,47.53,-121.77
6,47.53,-121.52
6,47.53,-121.27
6,47.53,-121.02
6,47.53,-120.77
0,47.53,-120.52
0,47.53,-120.27
0,47.53,-120.02
0,47.53,-119.77
12,47.53,-119.52
12,47.53,-119.27
12,47.53,-119.02
12,47.53,-118.77
12,47.53,-118.52
12,47.53,-118.27
11,47.53,-118.02
11,47.53,-117.77
11,47.53,-117.52
11,47.53,-117.27
11,47.53,-117.02
11,47.53,-116.77
7,47.78,-124.77
7,47.78,-124.52
7,47.78,-124.27
3,47.78,-124.02
4,47.78,-123.77
4,47.78,-123.52
4,47.78,-123.27
4,47.78,-123.02
4,47.78,-122.77
4,47.78,-122.52
4,47.78,-122.27
4,47.78,-122.02
4,47.78,-121.77
6,47.78,-121.52
6,47.78,-121.27
6,47.78,-121.02
6,47.78,-120.77
6,47.78,-120.52
0,47.78,-120.27
0,47.78,-120.02
0,47.78,-119.77
0,47.78,-119.52
0,47.78,-119.27
0,47.78,-119.02
0,47.78,-118.77
0,47.78,-118.52
0,47.78,-118.27
0,47.78,-118.02
11,47.78,-117.77
11,47.78,-117.52
11,47.78,-117.27
11,47.78,-117.02
11,47.78,-116.77
3,48.03,-124.77
3,48.03,-124.52
3,48.03,-124.27
3,48.03,-124.02
3,48.03,-123.77
4,48.03,-123.52
4,48.03,-123.27
3,48.03,-123.02
3,48.03,-122.77
3,48.03,-122.52
4,48.03,-122.27
4,48.03,-122.02
4,48.03,-121.77
6,48.03,-121.52
6,48.03,-121.27
6,48.03,-121.02
6,48.03,-120.77
9,48.03,-120.52
0,48.03,-120.27
0,48.03,-120.02
0,48.03,-119.77
0,48.03,-119.52
0,48.03,-119.27
0,48.03,-119.02
0,48.03,-118.77
0,48.03,-118.52
0,48.03,-118.27
0,48.03,-118.02
11,48.03,-117.77
11,48.03,-117.52
5,48.03,-117.27
5,48.03,-117.02
5,48.03,-116.77
3,48.28,-124.77
3,48.28,-124.52
3,48.28,-124.27
3,48.28,-124.02
3,48.28,-123.77
3,48.28,-123.52
3,48.28,-123.27
3,48.28,-123.02
3,48.28,-122.77
3,48.28,-122.52
4,48.28,-122.27
4,48.28,-122.02
4,48.28,-121.77
